Title,Publishing Date,Source
'Surprised and disappointed.' Doctors in Covid-19 hotspots last year are dealing with new record hospitalizations,"Sep 5, 2021",https://www.cnn.com/2021/09/05/health/us-coronavirus-sunday/index.html
"Already vaccinated against Covid-19? Experts say you're protected, even without a booster shot","Sep 4, 2021",https://www.cnn.com/2021/09/04/health/us-coronavirus-saturday/index.html
Florida teen who was hospitalized with Covid-19 wants to get vaccinated and says others should get the shot too,"Sep 5, 2021",https://www.cnn.com/2021/09/04/health/covid-florida-teen-get-vaccinated/index.html
What to do if your child is exposed to Covid-19 at school,"Apr 10, 2021",https://www.cnn.com/2021/04/09/health/child-covid-exposure-school-wellness/index.html
Tradition of Afghan girls who live as boys may be threatened,"Sep 4, 2021",https://www.cnn.com/2021/09/04/health/afghan-girls-living-as-boys-wellness/index.html
Vaccine slowdowns in the wealthy West could incubate the next disaster in the Covid crisis,"Sep 4, 2021",https://www.cnn.com/2021/09/04/health/vaccine-rollout-slowdown-intl-cmd/index.html
"Three doses of Covid-19 vaccine are likely needed for full protection, Fauci says","Sep 3, 2021",https://www.cnn.com/2021/09/03/health/us-coronavirus-friday/index.html
Florida teen speaks out after Covid-19 sent her to the ICU,"Sep 4, 2021",https://www.cnn.com/videos/health/2021/09/04/teen-message-covid-vaccination-kaye-pkg-ac360-vpx.cnn
'Almost intentional sabotage': Doctor reacts to Trump vaccine comments,"Sep 4, 2021",https://www.cnn.com/videos/health/2021/09/03/trump-vaccine-booster-shot-reiner-ebof-vpx.cnn
"More kids hospitalized with Covid-19 in states with lower vaccination rates, CDC report finds","Sep 3, 2021",https://www.cnn.com/2021/09/03/health/kids-hospitalized-covid/index.html
How to stock your kitchen with Mediterranean grocery staples,"Sep 4, 2021",https://www.cnn.com/2021/09/03/health/mediterranean-diet-shopping-list-printable-wellness/index.html
"It's the same pandemic, but now it's drastically different for kids","Sep 3, 2021",https://www.cnn.com/2021/09/03/health/kids-covid-delta-community-spread-difference-wellness/index.html
Doctor set up vaccine clinic at a Marjorie Taylor Greene rally,"Sep 3, 2021",https://www.cnn.com/videos/health/2021/09/03/dr-john-cowen-coronavirus-vaccines-marjorie-taylor-greene-donald-trump-newday-vpx.cnn
What is the healthiest fish to eat? The best choices for you and the planet,"Sep 3, 2021",https://www.cnn.com/2021/09/03/health/healthiest-fish-eating-wellness/index.html
US states that had some of the worst Covid-19 case rates in past week also reported the highest rates of new vaccinations,"Sep 2, 2021",https://www.cnn.com/2021/09/02/health/us-coronavirus-thursday/index.html
Opioid Crisis Fast Facts,"Sep 18, 2017",https://www.cnn.com/2017/09/18/health/opioid-crisis-fast-facts/index.html
